amount,device_id,location,is_fraud
726.58,a7f87cc7-df64-44c0-af08-da234b9e7c4c,Kleintown,0
242.45,d14b7895-6bfb-4181-86a2-11863a50219c,Dakotabury,0
4214.55,359fdb3c-9c94-4595-9eb1-ad48a534d3a3,Powersborough,0
90.48,95232d07-ded5-4b5b-aea3-aab650cd630b,Lake Emilyburgh,0
1092.4,3d327ff6-01fd-4d89-b582-146f65cd0143,Alexisstad,0
905.52,d6f5160f-3bce-4120-9f6a-ec68696477b5,Travishaven,0
4353.97,88cc9ebb-8935-4c99-8230-42ab7873edce,Stephenport,0
4587.03,b2eec098-c232-431e-a8be-d4a3b05ed3fe,Leetown,0
3631.41,8035ca9b-b781-421f-8313-2ce31f958133,Reyeschester,0
1597.83,a92d8864-21de-4df0-a6f5-29427dc37616,Lake Timothystad,0
2946.98,9de156a1-de6a-49a4-8a09-9ec1aa729444,Emilyside,0
192.34,70027e8f-1878-469e-b922-b8182a4faec4,Chanport,0
997.68,c913c507-e13a-4a3f-af83-f9bf16fe3d8b,West Barryport,0
52.93,397e62d1-031c-4835-b70d-d7761e6ba524,Jonathanshire,0
2556.5,434983ee-af8d-487f-9183-051c3d6802a0,New Jillland,0
4533.73,0a5d0d3b-86da-4651-934f-a722fa6a8cad,Port Patrickport,0
2152.57,64b93b36-155f-4388-a4a6-5147b31309bd,Port Karaport,0
4026.11,694e0695-9548-4447-8847-82b1cc2c5e6c,Stewartport,0
3103.7,695ac2f3-1c4e-4cd3-8090-952c83d41f08,Evansview,0
1931.04,27d6ed3c-00ee-45e2-b568-2c72688fbd0c,Hernandezstad,0
2857.7,e6f40820-65ac-4778-8cf2-f35382a73c52,West Zachary,0
1593.81,a0b7abac-0a3a-4ca5-94da-ea2ea55bb36f,Ericville,0
1916.19,75a98f33-6437-4dfa-b53e-3d2d9b69be74,Port Cherylville,0
1466.5,93cdd04c-fe1e-4d7e-b804-d527ba1e737f,Port Jessicaborough,0
1168.98,48286ffc-894d-4ca6-9e2d-d2a1af3d83ee,Lindseychester,0
2312.82,a8caa041-cec6-454d-8df1-cd54f02f888a,Lake Jacquelineville,0
778.98,98e448d7-e744-43d6-a66b-2d11a5c99630,North Christina,0
3812.28,5e0dae54-4055-43cf-9a87-dadfc2036226,Adammouth,0
2747.63,1ee93d81-765c-42be-9be1-36e048bee4c2,North Kevin,0
4218.2,c522fe53-85a5-4223-b26a-886d41377e27,Damonland,0
2779.93,ae984149-4e26-423f-9e44-57ffe5a931a9,West Tammy,0
225.65,cf4676a9-7618-4ecf-badb-c22a569e5b78,Port Loganfort,0
4728.81,6d2f17ca-36e4-493d-a4e0-a12dc3a3d648,Holmeston,0
1325.61,456e4cb9-dcae-472d-882a-58740bb60f58,West Bryanfort,0
3271.66,9a5485d8-8ba8-4d70-ac20-fd5107fc7d1f,Lake Debra,0
2476.16,bf311320-bab3-40f8-9867-2fb70dda2b89,Goodmanland,0
4587.11,2aeee323-33ef-41bb-a5db-eed3d8978cae,Albertshire,0
1533.82,8aca67b8-a93f-492e-a677-7dbedc09fde3,North Kimberlyland,1
1952.15,ff6090c3-a6e5-4a44-b3f5-a539ee50377f,Keithmouth,0
1173.83,d3b6bdde-b20f-423e-964b-1863c5be5673,Perryburgh,0
4732.18,9c0e1730-3244-40c5-beb6-63800714db11,West Anthony,0
3427.79,8b2c9208-7e26-4e73-ac3d-c627d1498ee7,South Paul,0
2848.5,e412c526-dcd0-42c7-afee-76ff27e67e8e,Arnoldbury,0
1456.02,6e258615-0a2d-47bd-89ec-6941c902afdc,Patriciashire,0
4249.84,16727ede-0367-40c1-bffc-73e621077331,Allenbury,0
1921.33,a1992ae8-1c25-475a-8dce-532cbeb88e3c,Davidton,0
570.52,08ec5e41-1b90-4670-8078-50ccca303978,Kingville,0
1058.02,54ca14be-4b53-4342-9810-53a50cd0bbea,Port Jorge,0
1740.2,1982c754-bae7-4d3a-84af-fc09a4f92b6d,West Michaelberg,0
1332.25,c5166bb0-baf9-493d-9d27-e28fe955f117,Williamston,0
3682.2,d5490216-7e93-4244-aa30-1b403f4bfc00,West Darinburgh,0
2719.04,b5e0e6b0-8513-41f6-bc1a-56f28f035e50,Josephbury,0
4224.41,39f18682-437e-49c5-b9d6-91d9b917d0f5,Port Michael,0
3057.99,eba587cd-7d74-4618-9eaf-4412806e3fed,Garrettstad,0
176.19,4cd4e388-988c-4554-82ae-f439799806c2,Port Christina,0
22.0,3d5b40e6-a47b-4ea7-a3af-fea2616039f6,New Brookeville,0
3189.7,e35f04b7-2116-4bc1-b59d-67c3f73d85a8,West Gregory,0
1089.07,d88ce3b9-63e4-4d88-8076-5c4ab053e973,Lake David,0
2109.03,4ba3bf59-d3f3-45f6-9271-7b2321e5282d,Lake Stephanieburgh,0
3009.35,055e7da3-f4c4-4c47-892b-0f310ccd577e,Williammouth,0
2590.85,037afab6-6cd6-4696-a83c-6b1a586877c3,East Christopher,0
3838.44,1ff825c1-be18-431a-b23d-7c29f5b3d3f3,Port Kenneth,0
